AC-4C
ACRO TWIN
ACRO TWIN 2
ACRO TWIN 3
ALLIANCE SNC34C
ANTARES (18.0)
ANTARES (20.0)
ARCUS
ASG 29 (15.0)
ASG 29 (18.0)
ASG 32
ASH 25
ASH 25 B
ASH 25 EB28
ASH 25 MI
ASH 25 MI (25.6)
ASH 25 MI (26.0)
ASH 25 WL (25.6)
ASH 25 WL (26.0)
ASH 25 WL (27.6)
ASH 26
ASH31 MI (18.0)
ASH31 MI (21.0)
ASK 13
ASK 14
ASK 16
ASK 21
ASK 23
ASTIR CS
ASTIR CS-77
ASTIR CS-77 W
ASTIR JEANS
ASW 12
ASW 15 STD
ASW 17
ASW 19 CLUB
ASW 19A
ASW 19B
ASW 20
ASW 20B
ASW 20BL
ASW 20BW
ASW 20C
ASW 20CL
ASW 20CW
ASW 20F
ASW 20F W
ASW 20FL
ASW 20L
ASW 20L W (15.0)
ASW 22 (24.0)
ASW 22B
ASW 22BL
ASW 24
ASW 24 W
ASW 27A
ASW 27B
ASW 28
ASW 28 (18.0)
BERGFALKE
BERGFALKE 4
BG 135
BLANIK
BOCIAN
CALIF A21
CAPSTAN
CIRRUS (17.7)
CIRRUS (18.8)
CLUB LIBELLE
CLUB PEGASE
COBRA (15.0)
DART (15.0)
DART (17.0) R
DG 100
DG 100 (FIXED)
DG 1000 (18.0) (FIXED)
DG 1000 (18.0) (RETR)
DG 1000 (20.0)
DG 101
DG 101 (FIXED)
DG 200
DG 202 (15.0)
DG 202 (17.0)
DG 300
DG 300 CLUB (FIXED)
DG 300 CLUB (RETR)
DG 300 W
DG 303
DG 400 (15.0)
DG 400 (17.0)
DG 500 (20.0)
DG 500 (22.0)
DG 500 ORION (20.0)
DG 500 TRAINER (FIXED)
DG 500 TRAINER (RETR)
DG 500M
DG 505 (20.0)
DG 505 (22.0)
DG 505 ORION (17.2)
DG 505 ORION (20.0)
DG 505 TRAINER (FIXED)
DG 505 TRAINER (RETR)
DG 600 (15.0)
DG 600 (17.0)
DG 600 (18.0)
DG 600 W (15.0)
DG 800 (15.0)
DG 800 (18.0)
DG 800 W (15.0)
DIAMANT (16.5)
DIAMANT (18.0)
DISCUS
DISCUS 2
DISCUS 2 W
DISCUS 2C (15.0)
DISCUS 2C (18.0)
DISCUS 2C TURBO
DISCUS 2T
DISCUS W
DUO DISCUS
DUO DISCUS W
DUO DISCUS X
DUO DISCUS XL
EAGLE
ELFE S4A
FALKE
FAUVETTE
FK3
FOKA 4
FOKA 5
GLASFLUGEL 304
GLASFLUGEL 604
GROB 102
GROB 109B
GRUNAU BABY
HORNET
HORNET WL
IRIS
IS 28B
IS 29D
IS 32
JANTAR 1 (19.0)
JANTAR 2
JANTAR STD 3
JANUS A
JANUS B
JANUS C (FIXED)
JANUS C (RETR)
JANUS CM
JASKOLKA
JP15-36A
JS1 A
JS1 B
JS1 C (18.0)
JS1 C (21.0)
KA 18
KA 2
KA 6CR
KA 6E
KA 7
KA 8
KESTREL (17.0)
KESTREL (19.0)
KESTREL (20.0)
KESTREL (22.0)
KH 1
KITE 2A
KRANICH
LAK 12
LAK 17A (15.0)
LAK 17A (18.0)
LAK 17A W (15.0)
LAK 17B (15.0)
LAK 17B (18.0)
LAK 18 (18.0)
LAK 19 (15.0)
LAK 19 (18.0)
LAK 19 W (15.0)
LIBELLE
LIBELLE 301
LIBELLE W
LS1-0
LS10 (15.0)
LS10 (18.0)
LS1-0 (FIXED)
LS1C
LS1D
LS1F
LS1F W
LS3
LS3 (17.0)
LS4
LS4 W
LS6
LS6 W
LS6C (17.5)
LS6C (18.0)
LS7
LS7 WL
LS8
LS8 (18.0)
L-SPATZ
M100S
M200
MARIANNE
MEISE
MINI NIMBUS
MISTRAL (FIXED)
MOSQUITO A
MOSQUITO A W
MOSQUITO B
MOSWEY 3
MOSWEY 4
MU 13
MUCHA STD
NIMBUS 2
NIMBUS 2B
NIMBUS 2C
NIMBUS 2CS (23.5)
NIMBUS 3 (24.5)
NIMBUS 3 (25.5)
NIMBUS 3D
NIMBUS 3D (25.5)
NIMBUS 3DT
NIMBUS 3DT (25.5)
NIMBUS 4
NIMBUS 4D
NIMBUS 4DT
OLYMPIA 2
OLYMPIA 403
OLYMPIA 419
OLYMPIA 463
PEGASE
PHOEBUS (17.0)
PIK 20
PIK 20E
PILATUS B4 (FIXED)
PILATUS B4 (RETR)
PIRAT
PREFECT
PUCHACZ
PW5
PW6
RF 5B
SALTO
SB5A
SB5B
SB5C
SB5E (16.5)
SD3/15
SF26
SF27A
SF27B
SFH 34
SHARK (18.0)
SHK-1
SIE 3
SILENE
SILENT 2 ELECTO/TARGA
SKY
SKYLARK 2
SKYLARK 3
SKYLARK 4
SPEED ASTIR
SPORT VEGA
SPS 31
STD ASTIR
STD CIRRUS
STD CIRRUS (16.0)
STD CIRRUS W
STD JANTAR
STEMME S10
SUPER BLANIK
SUPERFALKE
SWALLOW
SZD 30
SZD 50
SZD 51 JUNIOR
SZD 55
SZD 56
SZD 59
SZD54-2 PERKOZ
T21
T53
TANDEM FALKE
TORVA
TWIN ASTIR
VEGA (15.0)
VEGA L (17.0)
VENTUS (16.6)
VENTUS (17.6)
VENTUS 2A (15.0)
VENTUS 2AX (15.0)
VENTUS 2B (15.0)
VENTUS 2C (15.0)
VENTUS 2C (18.0)
VENTUS 2CX (15.0)
VENTUS 2CX (18.0)
VENTUS 2CXA (18.0)
VENTUS A
VENTUS B
VENTUS C
VIKING (GROB)
WA22
WA28
WEIHE
XIMANGO
YS53
ZUGVOGEL IIIB
