Approved Training Organization, ATO,
Kempische Aero Club, KAC, 
Leuvense Universitaire Aero Club, LUAC,
Vlaamse Zweevliegcentrum Phoenix, VZP,
Koninklijke Vliegclub De Wouw, KVDW,
Limburgs Zweefvlieg Centrum, LZC,
Vlaamse Zweefvlieg Club, VZA,
Diest Aero Club, DAC,
Brasschaatse Zweefvlieg Club, BZC,
Kortrijk Flying Club, KFC,
Aero Club Keiheuvel, ACB,
Koninklijke Antwerpse Zweefvliegclub Meeuw, KAZM,
Albatros Zweefvliegclub, ALB,
