circuitfase
cocpitfase
initiële rolfase lier / sleep
inspectie / daily check luchtvaartuig
landingsfase
lierfase
uitrijden lierkabels
uitleggen sleepkabels
manipulatieLVT hangar
manipulatie LVT vliegveld
op- en afbouwen luchtvaartuig
sleepfase
startboxfase (sleep of lier)
techniek / onderhoud luchtvaartuig
verplaatsingen terrein te voet
verplaatsingen terrein mobiel
vluchtfase
algemene vliegoperaties
vluchtvoorbereiding / briefing
klaarzetten / eindigen vliegbedrijf
veldoperaties (startleider, vluchtregistratie,.. )
rondleiden / wegwijs maken van mensen
administratie
overige
